time_slot,n_visible,ids,x_m,y_m,range_m,angle_deg,blockage_xmin,blockage_xmax,n_blockage_cells,dt_s
114,2,"2,101","-1.720,0.500","7.500,3.000","7.695,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.92,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
115,2,"2,101","-1.700,0.500","7.500,3.000","7.690,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.77,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
116,2,"2,101","-1.680,0.500","7.500,3.000","7.686,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
117,2,"2,101","-1.660,0.500","7.500,3.000","7.682,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.48,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
118,2,"2,101","-1.640,0.500","7.500,3.000","7.677,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
119,2,"2,101","-1.620,0.500","7.500,3.000","7.673,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.19,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
120,2,"2,101","-1.600,0.500","7.500,3.000","7.669,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-12.04,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
121,2,"2,101","-1.580,0.500","7.500,3.000","7.665,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.90,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
122,2,"2,101","-1.560,0.500","7.500,3.000","7.661,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
123,2,"2,101","-1.540,0.500","7.500,3.000","7.656,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.60,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
124,2,"2,101","-1.520,0.500","7.500,3.000","7.652,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.46,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
125,2,"2,101","-1.500,0.500","7.500,3.000","7.649,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.31,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
126,2,"2,101","-1.480,0.500","7.500,3.000","7.645,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.16,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
127,2,"2,101","-1.460,0.500","7.500,3.000","7.641,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-11.02,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
128,2,"2,101","-1.440,0.500","7.500,3.000","7.637,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.87,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
129,2,"2,101","-1.420,0.500","7.500,3.000","7.633,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.72,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
130,2,"2,101","-1.400,0.500","7.500,3.000","7.630,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.57,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
131,2,"2,101","-1.380,0.500","7.500,3.000","7.626,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.43,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
132,2,"2,101","-1.360,0.500","7.500,3.000","7.622,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.28,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
133,2,"2,101","-1.340,0.500","7.500,3.000","7.619,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-10.13,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
134,2,"2,101","-1.320,0.500","7.500,3.000","7.615,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.98,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
135,2,"2,101","-1.300,0.500","7.500,3.000","7.612,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.83,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
136,2,"2,101","-1.280,0.500","7.500,3.000","7.608,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.69,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
137,2,"2,101","-1.260,0.500","7.500,3.000","7.605,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.54,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
138,2,"2,101","-1.240,0.500","7.500,3.000","7.602,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
139,2,"2,101","-1.220,0.500","7.500,3.000","7.599,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.24,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
140,2,"2,101","-1.200,0.500","7.500,3.000","7.595,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-9.09,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
141,2,"2,101","-1.180,0.500","7.500,3.000","7.592,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.94,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
142,2,"2,101","-1.160,0.500","7.500,3.000","7.589,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
143,2,"2,101","-1.140,0.500","7.500,3.000","7.586,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
144,2,"2,101","-1.120,0.500","7.500,3.000","7.583,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.49,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
145,2,"2,101","-1.100,0.500","7.500,3.000","7.580,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.34,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
146,2,"2,101","-1.080,0.500","7.500,3.000","7.577,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.19,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
147,2,"2,101","-1.060,0.500","7.500,3.000","7.575,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-8.04,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
148,2,"2,101","-1.040,0.500","7.500,3.000","7.572,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.89,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
149,2,"2,101","-1.020,0.500","7.500,3.000","7.569,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.74,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
150,2,"2,101","-1.000,0.500","7.500,3.000","7.566,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.59,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
151,2,"2,101","-0.980,0.500","7.500,3.000","7.564,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.44,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
152,2,"2,101","-0.960,0.500","7.500,3.000","7.561,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.29,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
153,2,"2,101","-0.940,0.500","7.500,3.000","7.559,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-7.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
154,2,"2,101","-0.920,0.500","7.500,3.000","7.556,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.99,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
155,2,"2,101","-0.900,0.500","7.500,3.000","7.554,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.84,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
156,2,"2,101","-0.880,0.500","7.500,3.000","7.551,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.69,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
157,2,"2,101","-0.860,0.500","7.500,3.000","7.549,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.54,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
158,2,"2,101","-0.840,0.500","7.500,3.000","7.547,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
159,2,"2,101","-0.820,0.500","7.500,3.000","7.545,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.24,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
160,2,"2,101","-0.800,0.500","7.500,3.000","7.543,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-6.09,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
161,2,"2,101","-0.780,0.500","7.500,3.000","7.540,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.94,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
162,2,"2,101","-0.760,0.500","7.500,3.000","7.538,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
163,2,"2,101","-0.740,0.500","7.500,3.000","7.536,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
164,2,"2,101","-0.720,0.500","7.500,3.000","7.534,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.48,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
165,2,"2,101","-0.700,0.500","7.500,3.000","7.533,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
166,2,"2,101","-0.680,0.500","7.500,3.000","7.531,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.18,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
167,2,"2,101","-0.660,0.500","7.500,3.000","7.529,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-5.03,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
168,2,"2,101","-0.640,0.500","7.500,3.000","7.527,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.88,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
169,2,"2,101","-0.620,0.500","7.500,3.000","7.526,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.73,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
170,2,"2,101","-0.600,0.500","7.500,3.000","7.524,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.57,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
171,2,"2,101","-0.580,0.500","7.500,3.000","7.522,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.42,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
172,2,"2,101","-0.560,0.500","7.500,3.000","7.521,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.27,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
173,2,"2,101","-0.540,0.500","7.500,3.000","7.519,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-4.12,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
174,2,"2,101","-0.520,0.500","7.500,3.000","7.518,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.97,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
175,2,"2,101","-0.500,0.500","7.500,3.000","7.517,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.81,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
176,2,"2,101","-0.480,0.500","7.500,3.000","7.515,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.66,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
177,2,"2,101","-0.460,0.500","7.500,3.000","7.514,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.51,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
178,2,"2,101","-0.440,0.500","7.500,3.000","7.513,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
179,2,"2,101","-0.420,0.500","7.500,3.000","7.512,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.21,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
180,2,"2,101","-0.400,0.500","7.500,3.000","7.511,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-3.05,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
181,2,"2,101","-0.380,0.500","7.500,3.000","7.510,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.90,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
182,2,"2,101","-0.360,0.500","7.500,3.000","7.509,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
183,2,"2,101","-0.340,0.500","7.500,3.000","7.508,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.60,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
184,2,"2,101","-0.320,0.500","7.500,3.000","7.507,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.44,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
185,2,"2,101","-0.300,0.500","7.500,3.000","7.506,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.29,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
186,2,"2,101","-0.280,0.500","7.500,3.000","7.505,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-2.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
187,2,"2,101","-0.260,0.500","7.500,3.000","7.505,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.99,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
188,2,"2,101","-0.240,0.500","7.500,3.000","7.504,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.83,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
189,2,"2,101","-0.220,0.500","7.500,3.000","7.503,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.68,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
190,2,"2,101","-0.200,0.500","7.500,3.000","7.503,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.53,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
191,2,"2,101","-0.180,0.500","7.500,3.000","7.502,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.37,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
192,2,"2,101","-0.160,0.500","7.500,3.000","7.502,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
193,2,"2,101","-0.140,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-1.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
194,2,"2,101","-0.120,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.92,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
195,2,"2,101","-0.100,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.76,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
196,2,"2,101","-0.080,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.61,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
197,2,"2,101","-0.060,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.46,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
198,2,"2,101","-0.040,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.31,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
199,2,"2,101","-0.020,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-0.15,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
200,2,"2,101","0.000,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.00,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
201,2,"2,101","0.020,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.15,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
202,2,"2,101","0.040,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.31,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
203,2,"2,101","0.060,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.46,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
204,2,"2,101","0.080,0.500","7.500,3.000","7.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.61,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
205,2,"2,101","0.100,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.76,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
206,2,"2,101","0.120,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","0.92,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
207,2,"2,101","0.140,0.500","7.500,3.000","7.501,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
208,2,"2,101","0.160,0.500","7.500,3.000","7.502,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
209,2,"2,101","0.180,0.500","7.500,3.000","7.502,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.37,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
210,2,"2,101","0.200,0.500","7.500,3.000","7.503,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.53,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
211,2,"2,101","0.220,0.500","7.500,3.000","7.503,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.68,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
212,2,"2,101","0.240,0.500","7.500,3.000","7.504,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.83,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
213,2,"2,101","0.260,0.500","7.500,3.000","7.505,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","1.99,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
214,2,"2,101","0.280,0.500","7.500,3.000","7.505,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
215,2,"2,101","0.300,0.500","7.500,3.000","7.506,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.29,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
216,2,"2,101","0.320,0.500","7.500,3.000","7.507,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.44,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
217,2,"2,101","0.340,0.500","7.500,3.000","7.508,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.60,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
218,2,"2,101","0.360,0.500","7.500,3.000","7.509,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
219,2,"2,101","0.380,0.500","7.500,3.000","7.510,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","2.90,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
220,2,"2,101","0.400,0.500","7.500,3.000","7.511,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.05,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
221,2,"2,101","0.420,0.500","7.500,3.000","7.512,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.21,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
222,2,"2,101","0.440,0.500","7.500,3.000","7.513,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
223,2,"2,101","0.460,0.500","7.500,3.000","7.514,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.51,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
224,2,"2,101","0.480,0.500","7.500,3.000","7.515,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.66,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
225,2,"2,101","0.500,0.500","7.500,3.000","7.517,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.81,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
226,2,"2,101","0.520,0.500","7.500,3.000","7.518,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","3.97,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
227,2,"2,101","0.540,0.500","7.500,3.000","7.519,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.12,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
228,2,"2,101","0.560,0.500","7.500,3.000","7.521,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.27,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
